Generation,Alpha1,Tau1,Alpha2,Tau2,P1Low,P1Med,P1High,P2Low,P2Med,P2High,PredLow,PredMed,PredHigh
0,0.5,1,0.5,0,5,6,17,4,1,14,11,4,10
1,0.501477,0.998859,0.5,0.001054,4,5,36,5,3,23,14,4,8
2,0.500769,0.999095,0.499504,0.000726092,2,5,71,8,3,34,7,7,14
3,0.500937,0.999108,0.499784,0.00101666,1,6,128,9,4,62,9,8,15
4,0.501005,0.998434,0.50025,0.00149321,9,12,199,15,16,88,6,8,22
5,0.501007,0.99845,0.500715,0.00156361,9,30,324,23,23,139,14,7,25
6,0.501041,0.998578,0.500945,0.00180264,10,44,551,33,31,222,17,7,26
7,0.501312,0.99851,0.501269,0.00201437,10,85,918,54,39,347,18,9,31
8,0.501405,0.998337,0.501384,0.00221713,19,123,1521,83,59,538,16,9,40
9,0.50149,0.998074,0.501134,0.00237209,42,187,2551,110,116,811,20,16,44
10,0.501381,0.997854,0.501006,0.00263826,75,305,4199,176,187,1232,30,12,56
11,0.501559,0.997628,0.500986,0.00302781,117,531,6894,294,287,1849,31,15,71
12,0.501588,0.99747,0.501078,0.00333067,184,883,11383,424,435,2864,39,16,87
13,0.50155,0.997292,0.501041,0.00363339,323,1506,18820,692,647,4342,37,22,118
14,0.501586,0.997143,0.50109,0.00386521,522,2526,31188,1042,986,6606,49,34,136
