Generation,AvgAlphaPrey,AvgTauPrey,PreyLow,PreyMed,PreyHigh,PredLow,PredMed,PredHigh
0,0.5,1,10,3,37,7,4,11
1,0.499824,1,1,7,65,8,1,13
2,0.499846,0.999605,4,7,110,7,3,11
3,0.499917,0.999155,1,11,190,8,2,12
4,0.49982,0.999046,8,19,313,7,1,15
5,0.500173,0.998969,8,36,538,5,2,19
6,0.500228,0.998748,9,62,886,7,4,14
7,0.500401,0.998572,23,96,1486,5,8,15
8,0.500257,0.998343,38,160,2496,3,11,15
9,0.500265,0.998107,47,280,4194,4,8,22
10,0.50024,0.997947,118,534,6865,5,13,25
11,0.500153,0.997778,194,912,11449,8,10,26
12,0.500086,0.997581,355,1538,19019,9,7,27
13,0.500091,0.997395,528,2556,31509,13,3,29
14,0.500087,0.997209,871,4266,52201,15,7,26
