Generation,AvgAlphaPrey,PreyLow,PreyMed,PreyHigh,PredLow,PredMed,PredHigh
0,0.5007,12,20,20,4,4,1
1,0.5006,17,23,26,3,6,2
2,0.5002,22,29,41,4,6,2
3,0.5001,24,37,66,2,4,8
4,0.5001,31,44,102,1,6,10
5,0.5001,50,60,128,4,9,7
6,0.4999,69,96,171,4,14,9
7,0.4999,99,137,220,7,10,17
8,0.4994,113,164,344,11,9,19
9,0.4993,157,254,483,9,9,26
10,0.4992,233,334,645,9,15,28
11,0.4990,333,468,901,13,12,33
12,0.4987,473,654,1199,8,17,42
13,0.4988,653,878,1664,13,21,47
14,0.4987,870,1228,2326,20,22,54
15,0.4989,1197,1719,3177,17,25,57
16,0.4989,1661,2304,4469,18,24,67
17,0.4990,2298,3272,6104,23,29,71
18,0.4991,3206,4426,8464,22,34,81
19,0.4991,4377,6101,11855,38,48,81
20,0.4991,6084,8586,16191,55,56,86
21,0.4991,8323,11925,22565,54,71,95
22,0.4991,11755,16232,31368,48,67,122
23,0.4992,16214,22332,43735,58,73,137
24,0.4992,22220,31236,60771,70,66,154
